3945165414246368 | aidanbot5 | [3P] | [3/5] | 1741273952
8756140649160522 | drwWalkingwake | [2P] | [2/5] | 1741285973
2707971997189284 | gd252 | [1P] | [4/5] | 1741287460
8575056579894594 | TLDhakamoo | [3P] | [4/5] | 1741352458
4979199372391657 | BluMothim | [2P] | [2/5] | 1741355226
4303050796326431 | TLDcrawdaunt | [3P] | [5/5] | 1741368610
2911097111072853 | gd358 | [4P] | [3/5] | 1741371795
5217045428830548 | SirMarsh077 | [3P] | [3/5] | 1741396052
6019433784936737 | BluGolbat | [2P] | [2/5 Demi] | 1741400403
4669824222511833 | BluTorracat | [3P] | [2/5 Demi] | 1741402349
4515684350665168 | TEOLitten | [2P] | [5/5] | 1741417142
2803169982440268 | dora94 | [1P] | [2/5] | 1741417652
9855682970487891 | SkunkHunt067 | [1P] | [4/5] | 1741418581
4217858771040381 | drwEevee | [1P] | [3/5] | 1741420658
7752941286183032 | drwRellor | [3P] | [4/5] | 1741423746
8860938124237016 | TLDzekrom | [5P] | [2/5 Demi] | 1741440349
8798418567994024 | Ncarvanha | [3P] | [3/5] | 1741440679
8424272513117349 | drwCarracosta | [3P] | [3/5] | 1741444007
4322331199406237 | VTX16 | [5P] | [3/5] | 1741447656
5828728029003669 | vulgolbat | [2P] | [2/5] | 1741453743
5781378061591353 | drwCursola | [2P] | [2/5 Demi] | 1741457406
9227156853466371 | gd195 | [5P] | [1/5] | 1741472341
3908157968812213 | gd179 | [2P] | [2/5] | 1741479081
6772074381832288 | heypiending176 | [3P] | [2/5 Demi] | 1741488461
6698662296079346 | ciufciuf004 | [3P] | [5/5] | 1741489849
1119047333550123 | TLDskiddo | [5P] | [2/5 Demi] | 1741495862
8533008259792072 | TLDappletun | [2P] | [3/5] | 1741499425
3510500568956032 | sou889 | [3P] | [2/5] | 1741503486
9787201228171885 | LullabyFish | [1P] | [3/5] | 1741506008
2195755522927502 | DmxRegirock | [2P] | [3/5] | 1741508589
2239041355303301 | dora32 | [3P] | [0/5] | 1741510316
0820107952101194 | AphyAxew | [2P] | [2/5] | 1741514402
6909215221938538 | psyAegislash | [3P] | [3/5] | 1741515504
9819233114985716 | AphySwablu | [2P] | [2/5] | 1741516261
5617598515541014 | DmxNihilego | [1P] | [4/5] | 1741524198
7186445539333760 | D35Drapion | [3P] | [3/5] | 1741526408
3086803558635758 | D35Vibrava | [1P] | [3/5] | 1741528048
4931679335668186 | dora93 | [1P] | [4/5] | 1741528702
0658539108533451 | gd498 | [5P] | [4/5] | 1741529400
4745460298011803 | sylveon | [1P] | [4/5] | 1741529842
7188990030095802 | sou185 | [1P] | [0/5] | 1741532406
7091835458640498 | 0KGrimmsnarl | [3P] | [3/5] | 1741532723
8838504707995419 | vuldottler | [1P] | [4/5] | 1741533034
